No.,企業名,総人数,業種,当日ご担当者,当日緊急連絡先,受け入れ先住所,実施時間,集合時間,集合場所,アクセス,"自転車での
訪問の可否","自転車訪問の場合
駐輪場",当日受付方法,体験業務内容,体験上の注意点,服装・持ち物について,昼食について,No.
1A,株式会社デンケン,4,製造業,日比野舞,0568-69-5011,愛知県犬山市大字羽黒字馬道7番地1,10：00～15：00（休憩40分）,9:50,現地集合,名鉄犬山線 羽黒駅から徒歩15分　（高校から自転車で40分程度）,可能,駐輪場あり（工場の正門入って右手）,集合場所にて当日担当に声がけ,製造現場での仕分け作業、機械操作見学など（１日限りで想定しております）,工作機械等があり安全面で注意が必要な職場です。決められた服装を遵守いただきますようお願いします。（服装は後述）,"【服装】自由です。到着後に更衣室で「作業服・安全靴・帽子」に着替えていただきます。
（当日に貸与しますので事前にサイズをお伺いします。）
また、頭髪が肩より長い方は結んでから訪問ください。
【持ち物】暑い時期ですので飲料水をご持参ください。",弁当を注文可能（取りまとめ済み、1名だけ注文なし）,1A
1B,東名化学工業株式会社　小牧工場,4,製造業（プラスチック食品容器）,五十嵐恵美子,0568470701　又は　09041204036　　,小牧市大草檀之上5410,13:00~16:00,12:50,現地集合（小牧工場）,名鉄小牧原駅から自転車で約25分またはJR春日井駅から自転車で約25分,可能,駐輪場有　正門入って右手側,来客用玄関にて内線171,機長、検査員の作業,"作業指示内容の遵守
異物混入防止のため、アクセサリー等はお控えください。長髪の場合は束ねるヘアゴム等をご持参ください。",体育時の服装やTシャツ等の動きやすい服装、靴下はくるぶし丈以上を着用,午後から実施のため各自来場前にお済ませください,1B
1C,東罐興業株式会社　小牧工場,1,製造業,総務グループ　伊藤,0568-75-5311,愛知県小牧市東田中2118,9:00～15:00,9:00（集合時間10分前までにお集まりください）,現地集合,名鉄小牧線「小牧原」「味岡」駅から徒歩13分,可能,駐輪場有　工場の正門を入って左手直進,正門にある守衛室でインターンシップと伝える,食品容器の製造工程等,なし,筆記用具、ソックス（くるぶし丈のソックスは禁止）,食事は弊社で準備しますが、ご自身で弁当を持参いただいて問題ございません。弊社準備の食事をとられる予定の生徒様でアレルギーがある場合、自己管理とさせていただきますので予めご了承願います。,1C
1E,アイカテック建材株式会社名古屋工場,3,製造業,髙橋　賢（たかはし　まさる）,052-444-2671,愛知県海部郡大治町大字西條字西之川２５,9：00～16：00（休憩60分）,8:45,現地集合,名鉄津島線七宝駅より徒歩約12分,可能,工場建屋と道路を挟んだ向かい,事務所1階にて受付,"製造ライン見学
検査選別作業",場内安全作業手順に従い作業を行う,安全靴（必須）、作業着（あれば可）,弁当持参,1E
1G,株式会社青山製作所　大口工場,6,製造業（自動車部品）,仲村香穂,0587-95-3134,愛知県丹羽郡大口町高橋一丁目8番地,9：00～16：00,8:45,現地集合,江南駅から車で5分（公共交通機関で来社される場合は一度ご連絡ください）,可能,あり　（自転車で来社される方がいる場合は後日地図をお送りします。）,本社の建物4階までお越しください,ボルトの運搬、梱包、一部機械などを触って体験をします。,ルールを守って安全に作業してください,飲み物,社員食堂（無料）,1G
1H,リスパック株式会社 真空成形工場,5,製造業,総務部　山本源太,0568-67-5507,愛知県犬山市羽黒宮浦1番地,9：00～16：00（休憩60分）,9:00,リスパック株式会社犬山工場　守衛所前,,可能,工場の正門を入って左奥（構内では乗車禁止）,正門にある守衛室でインターンシップと伝える,会社紹介、工場見学（食品パッケージができるまで）、検品、箱詰め、グループワーク,工場に入場するので、装飾品（ピアス、ネックレス、指輪）の着用は不可。アルコール消毒を頻繁に行うので、アルコールアレルギーの場合も受け入れ不可。,"作業服の下に着るシャツが必要。ボタンや装飾が無いもの。万が一外れて製品に混入する可能性があるため普通のTシャツが望ましい。
持ち物は筆記用具、飲み物、日報",社員食堂を利用できます。費用はこちらで負担いたします。,1H
1I,株式会社東海理化電機製作所,3,メーカー,人事　谷口　のどか,080-5539-6161,愛知県丹羽郡大口町豊田三丁目260番地,9:00～16:00,8:20,名鉄犬山線布袋駅西口ロータリー集合（送迎あり）,,可能,,集合場所にて当日担当者に声がけ,工場で、組立作業や運搬など,,ジャージなどの動きやすい格好、長ズボン（ジーンズは×）,社員食堂を利用できます,1I
1J,株式会社林商店,2,ベビー衣料製造,林　康雄,（090）8736-7603,愛知県江南市野白町東千丸88,9:30～15:00,9:15,現地集合,名鉄「江南駅」　徒歩　10分,可能,本社の裏手,,午前(本社)/会社説明・業界説明・本社紹介　午後/視察と体験学習　(製造および流通),,服装は動きやすい服装・名札(名前を明記)・上履き・水筒(こちらでも用意します)・レポートを最後に提出いただくため筆記用具,12:00～13:00まで休憩　本社にて昼食　(昼食持参ください)　　,1J
1K,グンゼ江南工場,5,エンジニアリングプラスチックの製造,総務課　石田　菊江（いしだ　きくえ）,0587-56-071,愛知県江南市村久野町鳥附１番地,9：00～16：00（休憩60分程度）,9:00,現地集合,古知野高校から自転車で10分程度,可能,工場正門入って右手、守衛が案内します,守衛に声をかけ、総務事務所玄関を案内してもらってください,工場の説明と業務体験,,筆記用具・上履き・体操服ジャージ（半袖・長ズボン）,社員食堂（無料）をご利用ください。（アレルギー表示あり）,1K
2A,福玉米粒麦株式会社,2,製造業,宮田　実歩,0587-56-2148,愛知県江南市南山町西31,9：00～16：00,8:50,福玉米粒麦株式会社　江南営業所,名鉄犬山線布袋駅東口から徒歩3分,可能,工場建物横に駐輪場,事務所にいる事務員へ声をかけてください,食品製造業現場での工場業務体験,食品工場の為体調不良の方は体験ができなくなる場合があります,体操服（長袖長ズボンも）、きれいな室内履き、髪の長い方は結ぶ用のゴム,弁当持参,2A
