学年,組,番号,性別,No.,インターン企業名,日付,住所,担当,TEL,担当教員,担当教室
1,5,1,女,5E,江南市立宮田東保育園,7/31(金),江南市宮田神明町栄174,安田　晃代,0587-58-7466,本田,12
1,5,2,女,5B,江南市立古知野西保育園,7/30(木),江南市東野町郷前48,尾関　タケ代,0587-56-2021,,事前指導なし
1,5,3,女,5K,江南市立古知野東保育園,7/30(木),江南市高屋町大師７２番地,栗木　みゆき,0587-56-2706,小池,24
1,5,4,女,5C,江南市立布袋西保育園,7/29(水),江南市木賀町定和３１,本多　和子,0587-56-3300,,事前指導なし
1,5,5,女,5A,九品寺幼稚園,7/31(金),一宮市真清田2-14-7,村手珠美（むらてたまみ）,0586-73-1195,本田,12
1,5,6,女,1H,リスパック株式会社 真空成形工場,7/30(木),愛知県犬山市羽黒宮浦1番地,総務部　山本源太,0568-67-5507,小池,24
1,5,7,女,2C,株式会社扶桑守口食品,7/28(火),愛知県丹羽郡扶桑町大字山那字屋敷地757,食育担当　一栁　俊樹,0587-93-8670,,事前指導なし
1,5,8,男,42A,江南中央食品,7/28(火),江南市古知野町北屋敷242,滝耕平,0587-55-2688,,事前指導なし
1,5,9,女,43B,きもの館なかね,7/27(月),愛知県江南市古知野町本郷３４,中根禎裕 なかねさだひろ,090-1729-3424,,事前指導なし
1,5,10,女,43B,きもの館なかね,7/27(月),愛知県江南市古知野町本郷３４,中根禎裕 なかねさだひろ,090-1729-3424,,事前指導なし
1,5,11,女,42B,ガレ・ドゥ・ワタナベ,7/29(水),江南市小折町八反畑8,木下,0587-56-6223,,事前指導なし
1,5,12,女,5F,江南市立草井保育園,7/28(火),江南市草井町若草57,白濱　博子,0587-59-8539,,事前指導なし
1,5,13,女,42B,ガレ・ドゥ・ワタナベ,7/29(水),江南市小折町八反畑8,木下,0587-56-6223,,事前指導なし
1,5,14,女,5F,江南市立草井保育園,7/28(火),江南市草井町若草57,白濱　博子,0587-59-8539,,事前指導なし
1,5,15,女,2C,株式会社扶桑守口食品,7/28(火),愛知県丹羽郡扶桑町大字山那字屋敷地757,食育担当　一栁　俊樹,0587-93-8670,,事前指導なし
1,5,16,女,2B,サンハウス食品株式会社,7/28(火),愛知県江南市高屋町西里７７番地,人事課　立川　嘉孝（たちかわ　よしたか）,０５８７－５５－２１４１,,事前指導なし
1,5,17,女,1G,株式会社青山製作所　大口工場,7/27(月),愛知県丹羽郡大口町高橋一丁目8番地,仲村香穂,0587-95-3134,,事前指導なし
1,5,18,女,5G,江南市立古知野中保育園,7/30(木),江南市古知野町熱田203,青山　智香,0587-56-2233,,事前指導なし
1,5,19,女,2B,サンハウス食品株式会社,7/28(火),愛知県江南市高屋町西里７７番地,人事課　立川　嘉孝（たちかわ　よしたか）,０５８７－５５－２１４１,,事前指導なし
1,5,20,女,2D,大口屋木賀工場,7/27(月),江南市木賀町定和244-1 その他,都築　　つづき,0587-53-3815,,事前指導なし
1,5,21,女,2D,大口屋木賀工場,7/27(月),江南市木賀町定和244-1 その他,都築　　つづき,0587-53-3815,,事前指導なし
1,5,22,女,5C,江南市立布袋西保育園,7/29(水),江南市木賀町定和３１,本多　和子,0587-56-3300,,事前指導なし
1,5,23,女,5I,江南市立古知野南保育園,7/31(金),江南市古知野町塔塚160,西,0587-56-2833,本田,12
1,5,24,女,1K,グンゼ江南工場,7/31(金),愛知県江南市村久野町鳥附１番地,総務課　石田　菊江（いしだ　きくえ）,0587-56-071,石黒慎,21
1,5,25,女,5E,江南市立宮田東保育園,7/31(金),江南市宮田神明町栄174,安田　晃代,0587-58-7466,本田,12
