学年,組,番号,性別,配属企業No,企業名,業種,受け入れ先住所,緯度,経度,日付,最寄り駅,市町,距離km,業種マッチ,①業種(I),②業種(L),第1希望(P),第2希望(R),第3希望(T),大会重複,備考
1,5,1,女,42B,ガレ・ドゥ・ワタナベ,販売・サービス業（食品製造・販売）,江南市小折町八反畑8,35.313831,136.878494,7/29(水),扶桑駅,扶桑町,5.9,✅IL一致,保育・幼児教育,製造（食品）,保育・幼児教育,製造業（食品系）,販売・サービス,,
1,5,2,女,5I,江南市立古知野南保育園,保育,江南市古知野町塔塚160,35.336178,136.867859,7/27(月),江南駅,江南市赤童子町,0.5,✅IL一致,保育・幼児教育,製造（工業）,保育・幼児教育,福祉・介護,製造業（全般）,,
1,5,3,女,42B,ガレ・ドゥ・ワタナベ,販売・サービス業（食品製造・販売）,江南市小折町八反畑8,35.313831,136.878494,7/29(水),尾張一宮駅,一宮市浅野町,7.1,✅IL一致,製造（食品）,販売・サービス,販売・サービス,製造業（食品系）,保育・幼児教育,,
1,5,4,女,1G,株式会社青山製作所　大口工場,製造業（自動車部品）,愛知県丹羽郡大口町高橋一丁目8番地,35.3251,136.895706,7/27(月),布袋駅,江南市小折本町,0.5,✅IL一致,製造（工業）,保育・幼児教育,保育・幼児教育,福祉・介護,製造業（全般）,,
1,5,5,女,5A,九品寺幼稚園,幼児教育　保育,一宮市真清田2-14-7,35.311146,136.802643,7/27(月),一宮駅,一宮市,0.8,✅IL一致,製造（工業）,保育・幼児教育,保育・幼児教育,福祉・介護,製造業（全般）,,
1,5,6,女,1H,リスパック株式会社 真空成形工場,製造業,愛知県犬山市羽黒宮浦1番地,35.34903,136.941666,7/28(火),犬山駅,犬山市内田町,3.3,✅IL一致,製造（工業）,製造（工業）,製造業（全般）,販売・サービス,製造業（食品系）,,
1,5,7,女,2D,大口屋木賀工場,和菓子製造販売,江南市木賀町定和244-1 その他,35.323299,136.86908,7/27(月),江南駅,江南市村久野町,1.0,✅IL一致,製造（食品）,製造（食品）,製造業（食品系）,製造業（全般）,販売・サービス,,
1,5,8,男,2D,大口屋木賀工場,和菓子製造販売,江南市木賀町定和244-1 その他,35.323299,136.86908,7/27(月),江南駅,江南市鹿子島町,1.0,✅IL一致,販売・サービス,製造（食品）,販売・サービス,製造業（食品系）,保育・幼児教育,,
1,5,9,女,43B,きもの館なかね,着物小売業,愛知県江南市古知野町本郷３４,35.339359,136.871674,7/27(月),上小田井駅,名古屋市城町,13.0,✅IL一致,保育・幼児教育,アパレル,保育・幼児教育,販売・サービス,福祉・介護,,
1,5,10,女,43B,きもの館なかね,着物小売業,愛知県江南市古知野町本郷３４,35.339359,136.871674,7/27(月),,各務原市柏原町,7.4,✅IL一致,アパレル,アパレル,販売・サービス,製造業（全般）,保育・幼児教育,,
1,5,11,女,43B,きもの館なかね,着物小売業,愛知県江南市古知野町本郷３４,35.339359,136.871674,7/27(月),江南駅,江南市尾崎町,0.8,✅IL一致,販売・サービス,製造（食品）,販売・サービス,製造業（食品系）,福祉・介護,,
1,5,12,女,43B,きもの館なかね,着物小売業,愛知県江南市古知野町本郷３４,35.339359,136.871674,7/28(火),扶桑駅,丹羽郡扶桑町,4.4,✅IL一致,販売・サービス,保育・幼児教育,保育・幼児教育,販売・サービス,製造業（食品系）,,
1,5,13,女,43B,きもの館なかね,着物小売業,愛知県江南市古知野町本郷３４,35.339359,136.871674,7/28(火),上小田井駅,名古屋市,13.0,✅IL一致,販売・サービス,製造（食品）,販売・サービス,製造業（食品系）,保育・幼児教育,,
1,5,14,女,43B,きもの館なかね,着物小売業,愛知県江南市古知野町本郷３４,35.339359,136.871674,7/28(火),扶桑駅,丹羽郡扶桑町,4.4,✅IL一致,販売・サービス,製造（食品）,販売・サービス,製造業（食品系）,保育・幼児教育,7/29，30,
1,5,15,女,42A,江南中央食品,飲食サービス業,江南市古知野町北屋敷242,35.3391,136.869308,7/28(火),木田駅,あま市篠田,10.9,✅IL一致,製造（食品）,製造（食品）,製造業（食品系）,配送・運搬（物流）,販売・サービス,,
1,5,16,女,2C,株式会社扶桑守口食品,漬物製造業・小売り,愛知県丹羽郡扶桑町大字山那字屋敷地757,35.371872,136.907837,7/27(月),石仏駅,一宮市千秋町,11.8,✅IL一致,製造（食品）,製造（食品）,福祉・介護,製造業（食品系）,配送・運搬（物流）,,
1,5,17,女,2C,株式会社扶桑守口食品,漬物製造業・小売り,愛知県丹羽郡扶桑町大字山那字屋敷地757,35.371872,136.907837,7/27(月),布袋駅,江南市寄木町,5.8,✅IL一致,販売・サービス,製造（食品）,販売・サービス,製造業（食品系）,製造業（全般）,,
1,5,18,女,2C,株式会社扶桑守口食品,漬物製造業・小売り,愛知県丹羽郡扶桑町大字山那字屋敷地757,35.371872,136.907837,7/28(火),扶桑駅,江南市中若般町,1.5,✅IL一致,販売・サービス,保育・幼児教育,保育・幼児教育,販売・サービス,福祉・介護,,
1,5,19,女,2C,株式会社扶桑守口食品,漬物製造業・小売り,愛知県丹羽郡扶桑町大字山那字屋敷地757,35.371872,136.907837,7/28(火),木津用水駅,犬山市,4.8,✅IL一致,製造（食品）,製造（食品）,製造業（食品系）,販売・サービス,保育・幼児教育,,
1,5,20,女,5N,江南市立布袋東保育園,保育園,江南市小折町八反畑１４７,35.311016,136.875839,7/27(月),徳重名古屋芸大前駅,北名古屋市,7.1,⭕第2希望,製造（食品）,製造（食品）,製造業（食品系）,保育・幼児教育,販売・サービス,,
